Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
3 129 1321 5502 5002
21 111 422 5503 5003
10 97 7 5504 5004
14 93 3206 5505 5005
18 61 4784 5506 5006
2 120 1497 5507 5007
8 134 1116 5508 5008
10 57 1841 5509 5009
11 123 3132 5510 5010
5 140 4582 5511 5011
26 81 231 5512 5012
14 73 91 5513 5013
29 129 424 5514 5014
21 95 829 5515 5015
2 109 754 5516 5016
1 79 954 5517 5017
43 79 928 5518 5018
9 99 8410 5519 5019
34 73 1742 5520 5020
13 111 1464 5521 5021
5 86 158 5522 5022
22 79 768 5523 5023
15 87 724 5524 5024
0 74 814 5525 5025
8 99 4030 5526 5026
10 103 1781 5527 5027
0 44 685 5528 5028
4 108 691 5529 5029
5 149 1234 5530 5030
57 142 127 5531 5031
8 88 7230 5532 5032
11 26 733 5533 5033
9 123 135 5534 5034
19 97 2916 5535 5035
12 75 826 5536 5036
10 92 682 5537 5037
6 62 99 5538 5038
2 104 219 5539 5039
20 81 472 5540 5040
20 115 216 5541 5041
3 162 305 5542 5042
0 67 1983 5543 5043
7 98 492 5544 5044
38 41 4890 5545 5045
57 127 28 5546 5046
23 163 1629 5547 5047
18 120 1680 5548 5048
8 95 307 5549 5049
2 70 1109 5550 5050
25 99 1354 5551 5051
8 149 422 5552 5052
0 133 671 5553 5053
12 88 2615 5554 5054
2 75 931 5555 5055
28 99 2923 5556 5056
22 124 1769 5557 5057
2 82 2658 5558 5058
10 91 1174 5559 5059
0 126 367 5560 5060
20 88 3617 5561 5061
6 21 237 5562 5062
18 54 190 5563 5063
24 38 2042 5564 5064
1 108 828 5565 5065
29 106 957 5566 5066
4 108 927 5567 5067
15 106 1356 5568 5068
33 112 459 5569 5069
0 77 49 5570 5070
1 113 390 5571 5071
2 100 1172 5572 5072
7 83 3179 5573 5073
23 118 842 5574 5074
11 59 3565 5575 5075
8 59 908 5576 5076
33 94 1370 5577 5077
7 65 3018 5578 5078
27 42 391 5579 5079
3 69 8621 5580 5080
6 93 1826 5581 5081
5 105 3296 5582 5082
13 125 615 5583 5083
1 94 585 5584 5084
55 99 1175 5585 5085
45 59 91 5586 5086
26 107 3746 5587 5087
2 92 5117 5588 5088
6 103 231 5589 5089
0 67 1946 5590 5090
6 123 1501 5591 5091
0 46 4358 5592 5092
2 41 995 5593 5093
31 111 4035 5594 5094
15 39 1759 5595 5095
3 86 2253 5596 5096
10 81 3111 5597 5097
9 69 165 5598 5098
17 106 1441 5599 5099
0 108 3018 5600 5100
55 57 6332 5601 5101
0 68 810 5602 5102
3 92 3090 5603 5103
4 103 114 5604 5104
80 66 1367 5605 5105
1 85 1761 5606 5106
19 55 652 5607 5107
3 126 1662 5608 5108
32 95 1830 5609 5109
36 159 1346 5610 5110
11 99 1021 5611 5111
41 64 2081 5612 5112
27 79 1816 5613 5113
3 96 18 5614 5114
35 85 271 5615 5115
1 94 175 5616 5116
19 114 2823 5617 5117
2 82 2841 5618 5118
21 69 1478 5619 5119
12 104 1240 5620 5120
17 40 1112 5621 5121
17 118 72 5622 5122
1 114 1242 5623 5123
5 123 2535 5624 5124
0 101 134 5625 5125
4 53 597 5626 5126
2 96 37 5627 5127
4 122 1017 5628 5128
22 76 517 5629 5129
11 126 3673 5630 5130
12 120 1119 5631 5131
5 124 4266 5632 5132
20 108 279 5633 5133
27 134 1076 5634 5134
4 94 1476 5635 5135
36 82 3189 5636 5136
5 52 1643 5637 5137
50 128 1341 5638 5138
39 131 3147 5639 5139
0 95 2403 5640 5140
27 91 650 5641 5141
23 52 232 5642 5142
10 83 2004 5643 5143
11 116 879 5644 5144
27 48 2749 5645 5145
2 90 1985 5646 5146
51 60 3 5647 5147
1 71 626 5648 5148
40 115 1254 5649 5149
52 85 961 5650 5150
41 98 617 5651 5151
2 102 3921 5652 5152
35 98 2981 5653 5153
6 105 703 5654 5154
1 114 516 5655 5155
17 103 5150 5656 5156
4 53 1584 5657 5157
3 131 669 5658 5158
20 93 38 5659 5159
0 87 3416 5660 5160
9 74 1363 5661 5161
32 75 1745 5662 5162
0 84 1017 5663 5163
29 106 32 5664 5164
7 106 4639 5665 5165
2 113 1838 5666 5166
27 75 497 5667 5167
11 76 3191 5668 5168
11 106 1805 5669 5169
0 105 643 5670 5170
5 63 1671 5671 5171
6 91 415 5672 5172
7 89 210 5673 5173
0 90 2598 5674 5174
0 62 180 5675 5175
15 47 5186 5676 5176
10 92 3005 5677 5177
35 70 230 5678 5178
1 123 8 5679 5179
1 60 565 5680 5180
19 69 983 5681 5181
10 51 494 5682 5182
15 112 3831 5683 5183
19 78 978 5684 5184
12 136 892 5685 5185
