Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
3 129 2070 5502 5002
21 111 662 5503 5003
10 97 11 5504 5004
14 93 5023 5505 5005
18 61 7494 5506 5006
2 120 2346 5507 5007
8 134 1749 5508 5008
10 57 2885 5509 5009
11 123 4907 5510 5010
5 140 7179 5511 5011
26 81 363 5512 5012
14 73 144 5513 5013
29 129 665 5514 5014
21 95 1299 5515 5015
2 109 1181 5516 5016
1 79 1495 5517 5017
43 79 1454 5518 5018
9 99 13176 5519 5019
34 73 2729 5520 5020
13 111 2294 5521 5021
5 86 248 5522 5022
22 79 1204 5523 5023
15 87 1134 5524 5024
0 74 1275 5525 5025
8 99 6313 5526 5026
10 103 2790 5527 5027
0 44 1073 5528 5028
4 108 1083 5529 5029
5 149 1933 5530 5030
57 142 199 5531 5031
8 88 11327 5532 5032
11 26 1149 5533 5033
9 123 211 5534 5034
19 97 4569 5535 5035
12 75 1295 5536 5036
10 92 1068 5537 5037
6 62 155 5538 5038
2 104 343 5539 5039
20 81 740 5540 5040
20 115 339 5541 5041
3 162 479 5542 5042
0 67 3107 5543 5043
7 98 771 5544 5044
38 41 7662 5545 5045
57 127 44 5546 5046
23 163 2553 5547 5047
18 120 2632 5548 5048
8 95 482 5549 5049
2 70 1737 5550 5050
25 99 2121 5551 5051
8 149 662 5552 5052
0 133 1052 5553 5053
12 88 4097 5554 5054
2 75 1458 5555 5055
28 99 4579 5556 5056
22 124 2772 5557 5057
2 82 4164 5558 5058
10 91 1840 5559 5059
0 126 576 5560 5060
20 88 5666 5561 5061
6 21 372 5562 5062
18 54 298 5563 5063
24 38 3198 5564 5064
1 108 1297 5565 5065
29 106 1499 5566 5066
4 108 1453 5567 5067
15 106 2125 5568 5068
33 112 719 5569 5069
0 77 76 5570 5070
1 113 612 5571 5071
2 100 1836 5572 5072
7 83 4980 5573 5073
23 118 1319 5574 5074
11 59 5585 5575 5075
8 59 1422 5576 5076
33 94 2147 5577 5077
7 65 4729 5578 5078
27 42 613 5579 5079
3 69 13507 5580 5080
6 93 2861 5581 5081
5 105 5164 5582 5082
13 125 963 5583 5083
1 94 917 5584 5084
55 99 1841 5585 5085
45 59 143 5586 5086
26 107 5869 5587 5087
2 92 8017 5588 5088
6 103 362 5589 5089
0 67 3048 5590 5090
6 123 2352 5591 5091
0 46 6827 5592 5092
2 41 1559 5593 5093
31 111 6322 5594 5094
15 39 2756 5595 5095
3 86 3530 5596 5096
10 81 4873 5597 5097
9 69 258 5598 5098
17 106 2257 5599 5099
0 108 4729 5600 5100
55 57 9919 5601 5101
0 68 1270 5602 5102
3 92 4841 5603 5103
4 103 179 5604 5104
80 66 2142 5605 5105
1 85 2759 5606 5106
19 55 1022 5607 5107
3 126 2604 5608 5108
32 95 2867 5609 5109
36 159 2109 5610 5110
11 99 1599 5611 5111
41 64 3261 5612 5112
27 79 2845 5613 5113
3 96 29 5614 5114
35 85 424 5615 5115
1 94 274 5616 5116
19 114 4423 5617 5117
2 82 4451 5618 5118
21 69 2315 5619 5119
12 104 1942 5620 5120
17 40 1743 5621 5121
17 118 114 5622 5122
1 114 1945 5623 5123
5 123 3971 5624 5124
0 101 210 5625 5125
4 53 935 5626 5126
2 96 58 5627 5127
4 122 1594 5628 5128
22 76 810 5629 5129
11 126 5755 5630 5130
12 120 1754 5631 5131
5 124 6684 5632 5132
20 108 437 5633 5133
27 134 1685 5634 5134
4 94 2312 5635 5135
36 82 4996 5636 5136
5 52 2574 5637 5137
50 128 2100 5638 5138
39 131 4930 5639 5139
0 95 3765 5640 5140
27 91 1019 5641 5141
23 52 364 5642 5142
10 83 3140 5643 5143
11 116 1378 5644 5144
27 48 4307 5645 5145
2 90 3111 5646 5146
51 60 5 5647 5147
1 71 981 5648 5148
40 115 1965 5649 5149
52 85 1506 5650 5150
41 98 967 5651 5151
2 102 6143 5652 5152
35 98 4670 5653 5153
6 105 1101 5654 5154
1 114 808 5655 5155
17 103 8068 5656 5156
4 53 2482 5657 5157
3 131 1048 5658 5158
20 93 59 5659 5159
0 87 5352 5660 5160
9 74 2135 5661 5161
32 75 2735 5662 5162
0 84 1593 5663 5163
29 106 51 5664 5164
7 106 7267 5665 5165
2 113 2879 5666 5166
27 75 779 5667 5167
11 76 5000 5668 5168
11 106 2828 5669 5169
0 105 1007 5670 5170
5 63 2618 5671 5171
6 91 650 5672 5172
7 89 329 5673 5173
0 90 4071 5674 5174
0 62 283 5675 5175
15 47 8124 5676 5176
10 92 4707 5677 5177
35 70 360 5678 5178
1 123 12 5679 5179
1 60 885 5680 5180
19 69 1541 5681 5181
10 51 774 5682 5182
15 112 6002 5683 5183
19 78 1533 5684 5184
12 136 1397 5685 5185
20 95 989 5686 5186
21 67 1065 5687 5187
11 77 652 5688 5188
22 67 707 5689 5189
38 157 550 5690 5190
2 82 3790 5691 5191
3 65 5309 5692 5192
11 107 9755 5693 5193
15 69 2966 5694 5194
25 70 1084 5695 5195
61 128 924 5696 5196
8 80 6174 5697 5197
17 86 14110 5698 5198
0 88 629 5699 5199
1 80 1104 5700 5200
56 70 8808 5701 5201
