Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
3 129 1318 5502 5002
21 111 421 5503 5003
10 97 7 5504 5004
14 93 3198 5505 5005
18 61 4771 5506 5006
2 120 1493 5507 5007
8 134 1113 5508 5008
10 57 1836 5509 5009
11 123 3124 5510 5010
5 140 4570 5511 5011
26 81 231 5512 5012
14 73 91 5513 5013
29 129 423 5514 5014
21 95 827 5515 5015
2 109 752 5516 5016
1 79 952 5517 5017
43 79 925 5518 5018
9 99 8388 5519 5019
34 73 1737 5520 5020
13 111 1460 5521 5021
5 86 158 5522 5022
22 79 766 5523 5023
15 87 722 5524 5024
0 74 812 5525 5025
8 99 4019 5526 5026
10 103 1776 5527 5027
0 44 683 5528 5028
4 108 689 5529 5029
5 149 1231 5530 5030
57 142 126 5531 5031
8 88 7211 5532 5032
11 26 731 5533 5033
9 123 134 5534 5034
19 97 2908 5535 5035
12 75 824 5536 5036
10 92 680 5537 5037
6 62 98 5538 5038
2 104 218 5539 5039
20 81 471 5540 5040
20 115 215 5541 5041
3 162 305 5542 5042
0 67 1978 5543 5043
7 98 491 5544 5044
38 41 4878 5545 5045
57 127 28 5546 5046
23 163 1625 5547 5047
18 120 1676 5548 5048
8 95 307 5549 5049
2 70 1106 5550 5050
25 99 1350 5551 5051
8 149 421 5552 5052
0 133 670 5553 5053
12 88 2608 5554 5054
2 75 928 5555 5055
28 99 2915 5556 5056
22 124 1765 5557 5057
2 82 2651 5558 5058
10 91 1171 5559 5059
0 126 366 5560 5060
20 88 3607 5561 5061
6 21 237 5562 5062
18 54 189 5563 5063
24 38 2036 5564 5064
1 108 826 5565 5065
29 106 954 5566 5066
4 108 925 5567 5067
15 106 1353 5568 5068
33 112 457 5569 5069
0 77 48 5570 5070
1 113 389 5571 5071
2 100 1169 5572 5072
7 83 3170 5573 5073
23 118 839 5574 5074
11 59 3556 5575 5075
8 59 905 5576 5076
33 94 1367 5577 5077
7 65 3010 5578 5078
27 42 390 5579 5079
3 69 8599 5580 5080
6 93 1821 5581 5081
5 105 3288 5582 5082
13 125 613 5583 5083
1 94 583 5584 5084
55 99 1172 5585 5085
45 59 91 5586 5086
26 107 3736 5587 5087
