Inicio(seg) Duracao(seg) Banda(Kbps) PortaCli PortaServ
3 129 1318 5501 5001
21 111 421 5502 5002
10 97 7 5503 5003
14 93 3198 5504 5004
18 61 4771 5505 5005
2 120 1493 5506 5006
8 134 1113 5507 5007
10 57 1836 5508 5008
11 123 3124 5509 5009
5 140 4570 5510 5010
26 81 231 5511 5011
14 73 91 5512 5012
29 129 423 5513 5013
21 95 827 5514 5014
2 109 752 5515 5015
1 79 952 5516 5016
43 79 925 5517 5017
9 99 8388 5518 5018
34 73 1737 5519 5019
13 111 1460 5520 5020
5 86 158 5521 5021
22 79 766 5522 5022
15 87 722 5523 5023
0 74 812 5524 5024
8 99 4019 5525 5025
10 103 1776 5526 5026
0 44 683 5527 5027
4 108 689 5528 5028
5 149 1231 5529 5029
57 142 126 5530 5030
8 88 7211 5531 5031
11 26 731 5532 5032
9 123 134 5533 5033
19 97 2908 5534 5034
12 75 824 5535 5035
10 92 680 5536 5036
6 62 98 5537 5037
2 104 218 5538 5038
20 81 471 5539 5039
20 115 215 5540 5040
3 162 305 5541 5041
0 67 1978 5542 5042
7 98 491 5543 5043
38 41 4878 5544 5044
57 127 28 5545 5045
23 163 1625 5546 5046
18 120 1676 5547 5047
8 95 307 5548 5048
2 70 1106 5549 5049
25 99 1350 5550 5050
8 149 421 5551 5051
0 133 670 5552 5052
12 88 2608 5553 5053
2 75 928 5554 5054
28 99 2915 5555 5055
22 124 1765 5556 5056
2 82 2651 5557 5057
10 91 1171 5558 5058
0 126 366 5559 5059
20 88 3607 5560 5060
6 21 237 5561 5061
18 54 189 5562 5062
24 38 2036 5563 5063
1 108 826 5564 5064
29 106 954 5565 5065
4 108 925 5566 5066
15 106 1353 5567 5067
33 112 457 5568 5068
0 77 48 5569 5069
1 113 389 5570 5070
2 100 1169 5571 5071
7 83 3170 5572 5072
23 118 839 5573 5073
11 59 3556 5574 5074
8 59 905 5575 5075
33 94 1367 5576 5076
7 65 3010 5577 5077
27 42 390 5578 5078
3 69 8599 5579 5079
6 93 1821 5580 5080
5 105 3288 5581 5081
13 125 613 5582 5082
1 94 583 5583 5083
55 99 1172 5584 5084
45 59 91 5585 5085
26 107 3736 5586 5086
2 92 5104 5587 5087
6 103 231 5588 5088
0 67 1940 5589 5089
6 123 1497 5590 5090
0 46 4346 5591 5091
2 41 992 5592 5092
31 111 4025 5593 5093
15 39 1754 5594 5094
3 86 2247 5595 5095
10 81 3102 5596 5096
9 69 164 5597 5097
17 106 1437 5598 5098
0 108 3010 5599 5099
55 57 6315 5600 5100
0 68 808 5601 5101
3 92 3082 5602 5102
4 103 114 5603 5103
80 66 1363 5604 5104
1 85 1757 5605 5105
19 55 650 5606 5106
3 126 1658 5607 5107
32 95 1825 5608 5108
36 159 1343 5609 5109
11 99 1018 5610 5110
41 64 2076 5611 5111
27 79 1811 5612 5112
3 96 18 5613 5113
35 85 270 5614 5114
1 94 174 5615 5115
19 114 2815 5616 5116
2 82 2833 5617 5117
21 69 1474 5618 5118
12 104 1236 5619 5119
17 40 1109 5620 5120
17 118 72 5621 5121
1 114 1238 5622 5122
5 123 2528 5623 5123
0 101 134 5624 5124
4 53 595 5625 5125
2 96 37 5626 5126
4 122 1015 5627 5127
22 76 515 5628 5128
11 126 3664 5629 5129
12 120 1116 5630 5130
5 124 4255 5631 5131
20 108 278 5632 5132
27 134 1073 5633 5133
4 94 1472 5634 5134
36 82 3181 5635 5135
5 52 1639 5636 5136
50 128 1337 5637 5137
39 131 3139 5638 5138
0 95 2397 5639 5139
27 91 649 5640 5140
23 52 232 5641 5141
10 83 1999 5642 5142
11 116 877 5643 5143
27 48 2742 5644 5144
2 90 1980 5645 5145
51 60 3 5646 5146
1 71 625 5647 5147
40 115 1251 5648 5148
52 85 959 5649 5149
41 98 615 5650 5150
2 102 3911 5651 5151
35 98 2973 5652 5152
6 105 701 5653 5153
1 114 515 5654 5154
17 103 5136 5655 5155
4 53 1580 5656 5156
3 131 667 5657 5157
20 93 38 5658 5158
0 87 3408 5659 5159
9 74 1359 5660 5160
32 75 1741 5661 5161
0 84 1014 5662 5162
29 106 32 5663 5163
7 106 4626 5664 5164
2 113 1833 5665 5165
27 75 496 5666 5166
11 76 3183 5667 5167
11 106 1800 5668 5168
0 105 641 5669 5169
5 63 1667 5670 5170
6 91 414 5671 5171
7 89 209 5672 5172
0 90 2592 5673 5173
0 62 180 5674 5174
15 47 5172 5675 5175
10 92 2997 5676 5176
35 70 229 5677 5177
1 123 8 5678 5178
1 60 563 5679 5179
19 69 981 5680 5180
10 51 492 5681 5181
15 112 3821 5682 5182
19 78 976 5683 5183
12 136 889 5684 5184
20 95 629 5685 5185
21 67 678 5686 5186
11 77 415 5687 5187
22 67 450 5688 5188
38 157 350 5689 5189
2 82 2413 5690 5190
3 65 3380 5691 5191
11 107 6211 5692 5192
15 69 1888 5693 5193
25 70 690 5694 5194
61 128 588 5695 5195
8 80 3930 5696 5196
17 86 8983 5697 5197
0 88 400 5698 5198
1 80 703 5699 5199
56 70 5608 5700 5200
2 94 1162 5701 5201
0 80 1987 5702 5202
5 103 19 5703 5203
1 98 3367 5704 5204
4 65 329 5705 5205
4 65 1069 5706 5206
5 47 773 5707 5207
4 52 722 5708 5208
5 82 1995 5709 5209
24 114 3171 5710 5210
22 82 3188 5711 5211
5 95 4132 5712 5212
24 126 517 5713 5213
62 119 4783 5714 5214
1 90 2300 5715 5215
25 94 4419 5716 5216
0 95 931 5717 5217
11 88 36 5718 5218
8 77 877 5719 5219
93 88 992 5720 5220
52 83 601 5721 5221
18 54 1702 5722 5222
4 127 4136 5723 5223
13 111 494 5724 5224
4 113 2083 5725 5225
5 63 392 5726 5226
5 125 2719 5727 5227
13 37 1331 5728 5228
15 117 1167 5729 5229
8 60 1334 5730 5230
12 94 3208 5731 5231
3 66 1767 5732 5232
25 60 453 5733 5233
22 134 232 5734 5234
11 109 1523 5735 5235
15 89 3950 5736 5236
16 101 3419 5737 5237
35 74 1636 5738 5238
15 85 2347 5739 5239
24 144 48 5740 5240
4 70 1685 5741 5241
13 132 8550 5742 5242
40 77 2043 5743 5243
14 117 1564 5744 5244
0 95 5176 5745 5245
6 89 1136 5746 5246
10 75 2412 5747 5247
37 65 704 5748 5248
98 57 3009 5749 5249
9 118 2327 5750 5250
50 94 1632 5751 5251
13 133 5461 5752 5252
6 89 1092 5753 5253
1 42 1768 5754 5254
18 86 8381 5755 5255
6 104 4927 5756 5256
1 100 3522 5757 5257
8 123 824 5758 5258
7 71 6 5759 5259
2 111 4862 5760 5260
5 70 802 5761 5261
9 75 602 5762 5262
2 85 3541 5763 5263
1 90 2745 5764 5264
21 70 528 5765 5265
8 128 109 5766 5266
4 128 2105 5767 5267
39 86 845 5768 5268
9 74 251 5769 5269
43 77 568 5770 5270
8 144 10660 5771 5271
0 87 41 5772 5272
3 156 213 5773 5273
18 76 2536 5774 5274
18 99 2188 5775 5275
7 124 368 5776 5276
8 41 396 5777 5277
69 46 2558 5778 5278
9 86 674 5779 5279
34 134 953 5780 5280
2 75 1341 5781 5281
17 81 502 5782 5282
